,coma,puntos,parentesis,word_count,letras,charbyword,concre_media,cant_abstractas
7105,0,1,0,8,27,3.375,2.31375,2
2499,0,0,0,4,14,3.5,2.99,0
4285,0,1,0,19,82,4.315789473684211,2.2600000000000002,7
2494,0,1,0,5,14,2.8,2.262,2
308,0,1,0,9,41,4.555555555555555,1.3644444444444443,5
2341,0,1,0,6,23,3.8333333333333335,2.4866666666666664,1
2827,0,0,0,4,20,5.0,1.32,1
1703,0,1,0,9,26,2.888888888888889,1.6422222222222222,3
1423,0,1,0,10,39,3.9,2.212,3
6411,0,1,0,3,12,4.0,0.53,1
5147,2,0,0,11,52,4.7272727272727275,1.4745454545454544,3
7025,0,0,0,6,22,3.6666666666666665,2.385,1
1782,0,0,0,10,39,3.9,2.7860000000000005,4
7106,2,1,0,13,65,5.0,1.8900000000000001,3
1117,0,1,0,5,19,3.8,1.142,2
520,0,1,0,7,45,6.428571428571429,1.477142857142857,2
707,0,1,0,7,32,4.571428571428571,1.02,2
6954,0,1,0,7,35,5.0,1.292857142857143,3
4014,0,1,0,4,15,3.75,1.4725000000000001,1
6708,0,0,0,11,69,6.2727272727272725,1.4490909090909092,3
3418,0,1,0,10,35,3.5,2.1399999999999997,4
1258,0,1,0,4,22,5.5,1.0025,2
6736,0,1,0,5,24,4.8,2.096,1
6665,0,1,0,12,48,4.0,2.3758333333333335,4
1260,0,1,0,8,31,3.875,1.7662499999999999,3
4538,0,1,0,4,12,3.0,1.51,1
5438,1,1,0,26,97,3.730769230769231,2.433076923076923,8
6328,0,0,0,6,24,4.0,0.32666666666666666,1
2186,0,0,0,4,15,3.75,2.6425,1
3891,0,1,0,5,23,4.6,1.444,2
695,1,1,0,11,42,3.8181818181818183,1.8754545454545457,3
382,0,1,0,17,60,3.5294117647058822,1.5823529411764705,9
3761,0,0,0,6,21,3.5,2.32,1
3676,0,1,0,5,12,2.4,2.054,3
140,0,1,0,4,18,4.5,1.3325,1
5138,0,1,0,9,37,4.111111111111111,2.102222222222222,6
1426,0,1,0,7,28,4.0,1.8000000000000003,3
1221,0,1,0,4,20,5.0,2.59,1
5491,0,0,0,7,25,3.5714285714285716,3.061428571428572,3
2692,0,1,0,4,14,3.5,2.545,1
2993,0,1,0,11,51,4.636363636363637,1.4,6
5425,0,1,0,10,40,4.0,1.855,4
5666,0,1,0,6,24,4.0,2.518333333333333,1
6913,0,1,0,16,83,5.1875,1.63,10
5855,0,0,0,6,26,4.333333333333333,2.3200000000000003,4
2990,0,1,0,5,21,4.2,1.568,2
6940,0,1,0,6,30,5.0,1.735,2
6755,0,1,0,17,80,4.705882352941177,1.2711764705882354,4
1114,0,1,0,12,49,4.083333333333333,1.8049999999999997,7
2691,0,1,0,6,18,3.0,2.32,2
4458,0,1,0,4,9,2.25,1.8375000000000001,2
647,0,1,0,5,30,6.0,1.378,1
7062,0,1,0,4,8,2.0,1.8375000000000001,2
2826,0,1,0,7,27,3.857142857142857,1.7342857142857144,4
275,0,1,0,8,29,3.625,1.66125,3
3881,0,1,0,6,26,4.333333333333333,1.3866666666666667,2
777,0,0,0,18,64,3.5555555555555554,2.6455555555555557,8
4634,0,0,0,8,30,3.75,2.16375,4
2018,1,1,0,28,126,4.5,1.767857142857143,17
364,0,1,0,3,9,3.0,1.9633333333333336,1
2978,0,1,0,10,41,4.1,1.67,3
7160,0,1,0,7,23,3.2857142857142856,2.8900000000000006,1
4672,0,1,0,7,33,4.714285714285714,1.5814285714285714,2
5934,0,1,0,7,28,4.0,2.43,1
