,aro,auto_i,auto_me,auto_mine,auto_my,auto_mys,dom,val,pos,neg
7105,3.1566666666666667,1,0,0,0,0,5.94,5.88,0,0
2499,3.585,0,0,0,0,0,5.26,6.949999999999999,0,0
4285,4.005,2,0,0,0,0,5.258333333333334,5.273333333333333,0,0
2494,3.43,1,0,0,1,0,5.5,6.18,0,0
308,3.5866666666666664,0,0,0,0,0,5.203333333333333,5.6933333333333325,0,0
2341,3.9450000000000003,0,0,0,0,0,5.68,6.17,0,0
2827,4.623333333333334,0,0,0,0,0,4.82,4.796666666666667,0,1
1703,4.5075,3,0,0,0,0,5.755,5.62,1,1
1423,4.24,0,0,0,1,0,6.2700000000000005,6.635,0,1
6411,3.43,0,0,0,0,0,5.5,6.18,0,0
5147,3.62,0,0,0,0,0,5.3625,5.915,0,0
7025,3.3466666666666662,0,0,0,0,0,5.923333333333333,5.88,0,0
1782,4.296,1,0,0,1,0,5.462,5.9,0,0
7106,4.18,0,0,0,0,0,5.913333333333334,6.693333333333334,1,0
1117,4.51,0,0,0,1,0,5.695,6.43,0,0
520,3.62,0,0,0,0,0,6.71,6.68,0,0
707,,0,0,0,1,0,,,0,0
6954,3.05,0,0,0,0,0,5.5600000000000005,6.885,0,1
4014,3.8100000000000005,1,0,0,0,0,5.25,5.68,0,0
6708,4.0925,0,0,0,0,0,4.8925,5.285,1,0
3418,4.1000000000000005,0,0,0,0,0,4.946666666666666,5.43,0,1
1258,3.52,0,0,0,0,0,5.72,5.86,0,0
6736,3.42,0,0,0,0,0,6.275,6.57,0,0
6665,3.694,0,0,0,0,0,6.016,6.284,1,0
1260,3.3333333333333335,0,0,0,0,0,5.443333333333334,6.433333333333334,0,0
4538,3.085,0,0,0,0,0,5.555,6.75,0,0
5438,3.500833333333333,0,0,0,0,0,5.5625,5.939999999999999,0,0
6328,3.715,0,0,0,1,0,5.8549999999999995,6.2325,0,0
2186,3.2600000000000002,0,0,0,1,0,5.673333333333333,5.7799999999999985,0,0
3891,3.455,0,0,0,0,0,5.779999999999999,6.09,0,0
695,3.8525,1,0,0,1,0,6.13,6.12,0,0
382,3.8875,1,0,0,1,0,5.619999999999999,6.1525,1,0
3761,3.49,0,0,0,1,0,5.746666666666667,6.22,0,0
3676,,1,0,0,1,0,,,0,0
140,3.41,0,0,0,0,0,5.575,5.72,0,0
5138,3.28,1,0,0,0,0,6.116666666666667,5.996666666666666,0,0
1426,3.483333333333333,0,0,0,0,0,5.616666666666667,6.199999999999999,0,0
1221,5.0,1,0,0,0,0,7.28,7.67,1,0
5491,3.8425000000000002,1,0,0,0,0,5.4025,6.12,0,0
2692,3.795,1,0,0,0,0,5.68,6.075,0,0
2993,4.0675,0,0,0,0,0,5.6675,6.025,1,0
5425,4.0633333333333335,0,0,0,0,0,6.096666666666667,6.186666666666667,0,0
5666,4.785,0,0,0,1,0,5.715,6.13,0,0
6913,4.257142857142857,0,0,0,0,0,6.347142857142857,6.5928571428571425,2,0
5855,4.343333333333333,1,0,0,0,0,6.796666666666667,7.066666666666666,1,0
2990,4.255,0,0,0,0,0,5.27,6.15,0,0
6940,3.75,0,0,0,0,0,5.59,5.449999999999999,0,0
6755,4.355,0,0,0,1,0,6.053333333333334,6.875,2,1
1114,4.368333333333333,0,0,0,0,0,5.1433333333333335,5.14,0,2
2691,3.665,1,0,0,0,0,4.64,6.755,0,0
4458,3.43,1,0,0,0,0,5.5,6.18,0,0
647,4.866666666666667,0,0,0,0,0,5.78,5.896666666666667,1,0
7062,3.43,1,0,0,0,0,5.5,6.18,0,0
2826,3.5566666666666666,0,0,0,1,0,5.536666666666666,6.633333333333333,1,0
275,2.9933333333333336,0,0,0,0,0,5.3,6.566666666666666,0,0
3881,4.066666666666666,0,0,0,0,0,5.506666666666667,4.803333333333334,0,0
777,3.433333333333333,0,0,0,0,0,5.6499999999999995,6.128888888888889,0,0
4634,3.3625,0,0,0,0,0,5.38,5.965,0,0
2018,4.486,0,0,0,0,0,5.7170000000000005,6.013,1,0
364,3.43,1,0,0,0,0,5.5,6.18,0,0
2978,4.066666666666666,0,0,0,0,0,5.170000000000001,6.453333333333333,0,0
7160,4.333333333333333,1,0,0,0,0,6.330000000000001,6.736666666666667,0,0
4672,4.32,1,0,0,0,0,6.27,6.66,1,0
